threshold,size,dice
0.4,16000,0.6197089872741033
0.4,18000,0.6190488559787214
0.35,16000,0.617722250014007
0.35,14000,0.6175920793185262
0.35,18000,0.6173289846825726
0.45,16000,0.6167287909679785
0.35,12000,0.6165853686855348
0.4,12000,0.615849146562935
0.45,14000,0.6155767248832843
0.45,18000,0.6148690134400027
0.5,12000,0.6146047971302475
0.5,14000,0.6142362957848345
0.4,14000,0.6141591338639479
0.45,12000,0.6141121857368899
0.65,14000,0.6135431052703169
0.55,16000,0.6128090795279595
0.6,16000,0.6126703234739846
0.7,12000,0.6123562948655067
0.5,18000,0.6119943348840213
0.55,18000,0.6116096536695279
0.5,16000,0.6113188844010433
0.65,12000,0.6112438087321941
0.6,18000,0.6102553588334021
0.6,12000,0.6102165292899566
0.55,12000,0.6102137974288496
0.6,14000,0.6099549106526255
0.65,18000,0.6098282460035254
0.55,14000,0.60944078124948
0.7,16000,0.6089859875041627
0.7,18000,0.6083002636494145
0.7,14000,0.6081018544808017
0.65,16000,0.6080700456263142
0.75,12000,0.6054980952219426
0.75,14000,0.6032752633290706
0.75,16000,0.6017883558800955
0.75,18000,0.6005521619824569
