threshold,size,dice
0.35,12000,0.6206036157729393
0.35,14000,0.6198213893517804
0.45,12000,0.6191289677243145
0.4,14000,0.6184091713992881
0.55,14000,0.6181244679970053
0.55,12000,0.6179920940138772
0.5,14000,0.6179232437676343
0.55,10000,0.617820961593758
0.45,14000,0.6165761116708229
0.4,12000,0.6165492004830051
0.5,10000,0.6162568905960932
0.6,8000,0.6156215475343778
0.35,10000,0.6152291634969064
0.6,10000,0.6152042665597386
0.5,12000,0.6152013106234596
0.4,10000,0.6148276145366416
0.45,10000,0.6147739731265074
0.6,12000,0.6137316711444081
0.55,8000,0.6136473057573266
0.5,8000,0.6129684298022801
0.45,8000,0.6125476734336406
0.65,8000,0.6123382543538112
0.65,10000,0.6094862604217344
0.65,12000,0.609446512928986
0.4,8000,0.6091377386888224
0.35,8000,0.6085722464960578
0.6,14000,0.6084639610814097
0.65,14000,0.6069331342293142
0.7,10000,0.6069240979298929
0.7,8000,0.6041811963646947
0.7,12000,0.60199684412344
0.7,14000,0.5970362364654315
0.75,8000,0.5955675738876209
0.75,10000,0.5948291451651543
0.75,12000,0.588636543421082
0.75,14000,0.5859280539148609
