threshold,size,dice
0.45,9000,0.6080811183156878
0.4,14000,0.6062587794675884
0.4,11000,0.6060578822552888
0.4,10000,0.6057890460627042
0.4,12000,0.6054797575153115
0.5,10000,0.6049543148562323
0.45,13000,0.6048357730297155
0.4,8000,0.6042193528765657
0.4,9000,0.604085307287668
0.45,10000,0.6037009457871193
0.5,9000,0.6036380764784445
0.5,8000,0.6036320509117301
0.5,11000,0.6034948585257166
0.55,8000,0.603103062317679
0.4,13000,0.6030408956551584
0.45,12000,0.6029851960540769
0.4,15000,0.6028859406343131
0.45,11000,0.602099628206984
0.45,8000,0.6020005023668472
0.5,12000,0.601595674941485
0.55,9000,0.6013364138622729
0.5,13000,0.6001309342734847
0.45,14000,0.6000323477790633
0.45,15000,0.5987372893054262
0.5,14000,0.5981805930139714
0.5,15000,0.5975836793923457
0.55,10000,0.5973322263702089
0.55,12000,0.5967675714608601
0.55,11000,0.5944478600705215
0.6,8000,0.5943449848293022
0.55,13000,0.5934500314995749
0.6,9000,0.5931713567942078
0.6,11000,0.5921787143748818
0.55,14000,0.5916153480333801
0.6,10000,0.5911475090883231
0.6,12000,0.5896980046608147
0.65,8000,0.5863203348233565
0.65,10000,0.5841608312658464
0.55,15000,0.5836530511928864
0.65,9000,0.5834279200083456
0.6,13000,0.5830592518015031
0.65,11000,0.5811744525819196
0.6,14000,0.5760698674562268
0.6,15000,0.575359069399217
0.7,8000,0.5748959356977593
0.65,12000,0.5745017835207852
0.7,9000,0.5736576441330081
0.65,13000,0.5720248538997552
0.7,10000,0.5691325395420652
0.65,14000,0.5689115963349377
0.7,12000,0.566280363148832
0.7,11000,0.5646846739552493
0.7,13000,0.5619219755422168
0.65,15000,0.5618512484126927
0.7,14000,0.5557477889327653
0.7,15000,0.5531651919323884
