threshold,size,dice
0.7,14000,0.626614600515521
0.65,14000,0.6263669936485807
0.5,14000,0.6263606883270041
0.35,14000,0.6263606883270041
0.55,14000,0.6263606883270041
0.4,14000,0.6263606883270041
0.45,14000,0.6263606883270041
0.6,14000,0.6263606883270041
0.75,14000,0.6255932095075813
0.65,16000,0.6247501429684186
0.55,16000,0.6247420675884827
0.5,16000,0.6247420675884827
0.45,16000,0.6247420675884827
0.4,16000,0.6247420675884827
0.35,16000,0.6247420675884827
0.6,16000,0.6247420675884827
0.7,16000,0.6247155568189449
0.75,16000,0.6245695222362837
0.75,12000,0.6234104128986864
0.7,12000,0.6234065023001363
0.75,18000,0.6220746935216271
0.65,12000,0.6219033165478782
0.6,12000,0.6209503153606815
0.55,12000,0.6209503153606815
0.5,12000,0.6209503153606815
0.45,12000,0.6209503153606815
0.4,12000,0.6209503153606815
0.35,12000,0.6209503153606815
0.7,18000,0.6203880716165407
0.65,18000,0.6191295676869462
0.55,18000,0.6191209996104357
0.6,18000,0.6191209996104357
0.5,18000,0.6191209996104357
0.45,18000,0.6191209996104357
0.4,18000,0.6191209996104357
0.35,18000,0.6191209996104357
