threshold,size,dice
0.5,17000,0.7662982987213047
0.55,14000,0.7662690534201696
0.5,15000,0.7660212516819964
0.5,16000,0.7657819488391152
0.55,15000,0.765719462369267
0.5,14000,0.7653389110968254
0.5,13000,0.764941767597606
0.5,18000,0.7649341402507377
0.55,13000,0.7646844241378171
0.55,16000,0.7643091867655786
0.55,12000,0.7637149470148745
0.6,13000,0.7636657739618173
0.6,12000,0.7636484679547778
0.45,17000,0.7636242614151685
0.45,15000,0.7632857396625925
0.45,16000,0.7627483995780697
0.6,14000,0.7621989633942023
0.45,14000,0.7620437863911744
0.45,18000,0.7617350865503195
0.6,15000,0.7612962335990602
0.55,17000,0.7612372451431973
0.65,12000,0.7611972355605392
0.5,12000,0.7606900077577645
0.55,18000,0.759674142740674
0.4,17000,0.7594508872308858
0.4,18000,0.7586951794421374
0.65,13000,0.7585320800099753
0.45,13000,0.7581415412455073
0.6,16000,0.7574684886162654
0.4,16000,0.7572166342955722
0.6,17000,0.7571362754511554
0.65,14000,0.7566396965921409
0.65,15000,0.7566319882363265
0.45,12000,0.7565988771634278
0.7,14000,0.7560617728655019
0.6,18000,0.755942168038388
0.7,12000,0.7558660247872968
0.7,13000,0.7556330745472843
0.4,12000,0.755568057730309
0.7,17000,0.7552224961751282
0.65,16000,0.7549919876006417
0.4,15000,0.7544660394241092
0.65,18000,0.7542277187291678
0.65,17000,0.7539966807704279
0.7,16000,0.7539881711986401
0.7,18000,0.7537165605957901
0.4,13000,0.7536205280839641
0.7,15000,0.7531851105272918
0.4,14000,0.7530163754936449
