threshold,size,dice
0.5,18000,0.634729519903071
0.55,16000,0.6345455339584193
0.55,18000,0.6340935972857945
0.6,16000,0.6312766336560051
0.45,18000,0.6311639580599697
0.5,16000,0.6306703292233666
0.45,14000,0.6299351079186782
0.6,14000,0.6298195124899799
0.5,14000,0.6292647553532759
0.55,14000,0.6291226509562646
0.5,12000,0.6288421023760984
0.4,18000,0.6288419374915871
0.55,12000,0.6288057452357934
0.65,12000,0.6284420449828801
0.45,16000,0.6282834359810368
0.6,12000,0.6278862275691048
0.6,18000,0.6275538939813418
0.4,16000,0.6269945964748157
0.65,18000,0.6269876075463082
0.65,14000,0.6265691850713994
0.7,18000,0.6257274119971638
0.7,16000,0.6254032381830343
0.65,16000,0.6249448661413843
0.45,12000,0.6244710732471038
0.75,16000,0.6236032883614199
0.7,14000,0.6228642966362319
0.75,14000,0.6228288394066492
0.75,12000,0.62277937040797
0.7,12000,0.6221488681997998
0.35,18000,0.6221002414223087
0.4,14000,0.6207701083402682
0.75,18000,0.6197587607038934
0.35,16000,0.6116059223776631
0.4,12000,0.608389967189013
0.35,14000,0.6059508779005705
0.35,12000,0.5983889581361678
