threshold,size,dice
0.45,17000,0.7754091346525307
0.6,15000,0.7749644775259291
0.4,18000,0.7749502367096459
0.65,12000,0.7749142808880174
0.55,14000,0.7748523921222426
0.5,16000,0.7745372069004052
0.6,16000,0.774144268721485
0.55,15000,0.7740986384503823
0.5,15000,0.7740519097240158
0.5,18000,0.7740069957567475
0.45,18000,0.773955369456001
0.6,13000,0.7736416223341064
0.55,16000,0.7735354915614395
0.5,17000,0.773516513863165
0.55,18000,0.7734463184635529
0.5,14000,0.7734239091943006
0.45,14000,0.7733437378972498
0.45,16000,0.7733330820202414
0.65,13000,0.7733102411658382
0.6,17000,0.7730930167103639
0.55,17000,0.7730315102581714
0.4,17000,0.7729920570745668
0.5,13000,0.7728831358730397
0.55,13000,0.7721833529763351
0.65,14000,0.7720447051268281
0.45,15000,0.7714896538800046
0.4,16000,0.7712215956138542
0.6,14000,0.7712060736017964
0.6,12000,0.7712036972298603
0.5,12000,0.7708099378102848
0.6,18000,0.7706764823958017
0.65,15000,0.7703472603122494
0.55,12000,0.7702222536293424
0.4,15000,0.7699418577577405
0.65,16000,0.7687815671900535
0.45,13000,0.7685399573808944
0.7,12000,0.7684975304031424
0.7,13000,0.7674486187689129
0.45,12000,0.7669843083198514
0.65,17000,0.7660119044904744
0.7,14000,0.7656897923487901
0.7,15000,0.7651770411579878
0.65,18000,0.764561978602884
0.4,14000,0.7642025812708316
0.7,16000,0.7628028820766751
0.4,13000,0.7622134581130179
0.7,17000,0.7608157174971626
0.7,18000,0.760703210726761
0.4,12000,0.7604969834516873
