threshold,size,dice
0.55,12000,0.7712182298751604
0.55,13000,0.7711562401322206
0.4,16000,0.7703370928742543
0.55,14000,0.770193739992717
0.4,14000,0.7699603001416503
0.4,17000,0.7696629075402576
0.4,15000,0.7695736282334034
0.6,12000,0.7694254615680486
0.5,15000,0.769383575347067
0.5,16000,0.7692591129084271
0.45,17000,0.7690290280871809
0.45,16000,0.7688308495540308
0.6,13000,0.7685877031824023
0.5,14000,0.7683792002009119
0.45,18000,0.7683332639295727
0.45,13000,0.7683024586001955
0.55,15000,0.7682624855084088
0.65,12000,0.7682362587004414
0.5,17000,0.7678481793452012
0.65,13000,0.7678060091035958
0.45,15000,0.7676576402226646
0.55,16000,0.7675539892889064
0.6,14000,0.7675486580410024
0.45,12000,0.7670959057548206
0.45,14000,0.767076986193294
0.5,13000,0.7670001951119774
0.5,12000,0.7669651791571352
0.65,14000,0.7666903041980158
0.6,15000,0.7666434958732498
0.4,13000,0.7666099460825629
0.55,18000,0.765805557409577
0.65,17000,0.7657840673696926
0.4,18000,0.7657043887173625
0.6,17000,0.7657040115692906
0.5,18000,0.7656293008139955
0.55,17000,0.765288463393985
0.6,16000,0.7645605357903466
0.6,18000,0.7643849887290318
0.65,16000,0.7643196292356599
0.65,18000,0.7641604177780867
0.7,12000,0.7639983774941143
0.65,15000,0.7639899184321215
0.4,12000,0.7630526218860921
0.7,17000,0.7629506249459522
0.7,13000,0.7626664821291101
0.7,15000,0.7622509274188445
0.7,16000,0.762033933020085
0.7,18000,0.7613869694486013
0.7,14000,0.7607740221946249
