threshold,size,dice
0.45,17000,0.6212596270200387
0.4,19000,0.620633968365465
0.4,18000,0.6189816021154407
0.45,19000,0.6188366475658046
0.45,16000,0.6177248146425329
0.45,18000,0.6175239384483738
0.5,15000,0.617422508225016
0.5,17000,0.6164899260998908
0.5,16000,0.6163161383172865
0.45,15000,0.6160948522060992
0.4,17000,0.6147663344755305
0.55,15000,0.6146706951878128
0.5,18000,0.6146528356396832
0.5,19000,0.6140182606108706
0.35,17000,0.6136388473606765
0.35,19000,0.6136382325515082
0.35,15000,0.6136368297010569
0.55,16000,0.6132070104530477
0.65,17000,0.6126855840636295
0.35,16000,0.612469373740834
0.35,18000,0.6123073459024155
0.6,19000,0.6120921888737427
0.65,19000,0.6119356491734649
0.4,16000,0.6118663956523713
0.6,16000,0.6114237151579642
0.6,18000,0.6113850264503058
0.65,15000,0.6113763588579911
0.6,15000,0.6111966868015701
0.55,19000,0.6111439987721339
0.6,17000,0.6111293072403973
0.55,17000,0.6110912212436821
0.65,18000,0.6107495889734721
0.55,18000,0.6105757304834984
0.65,16000,0.610036452834301
0.4,15000,0.6098715580575023
0.7,17000,0.6066037953576752
0.7,15000,0.6058108098347524
0.7,16000,0.6054701832480328
0.7,18000,0.6043485578106885
0.7,19000,0.6036532698876736
