threshold,size,dice
0.5,15000,0.6332262713268488
0.45,17000,0.6327731435040561
0.45,16000,0.6320135202825349
0.5,13000,0.6318266663091148
0.5,14000,0.6316036588346533
0.55,12000,0.6313325576691028
0.6,12000,0.6309877160544195
0.55,15000,0.6308903725998096
0.45,15000,0.6308319836866396
0.55,14000,0.6307339591900057
0.55,13000,0.6304679782265147
0.6,13000,0.6302518053373115
0.5,16000,0.6301293518690996
0.55,16000,0.6301289519116556
0.45,14000,0.6300615860097898
0.6,14000,0.6299727736097839
0.55,17000,0.6298980973795245
0.4,18000,0.6295722943585509
0.4,17000,0.6294183487830299
0.5,12000,0.6291996297951734
0.5,18000,0.629194796144992
0.45,18000,0.6291524719190618
0.55,18000,0.6286141625314139
0.4,16000,0.6285912926393888
0.5,17000,0.6276034693956785
0.6,15000,0.6269631875645719
0.45,13000,0.6267480575693289
0.65,18000,0.6263335318208705
0.65,17000,0.6260817779964297
0.6,16000,0.6253207731844671
0.6,17000,0.6251365921396584
0.65,12000,0.6240535866226181
0.45,12000,0.6238022280610224
0.65,14000,0.623679743604995
0.7,15000,0.6236299157554914
0.6,18000,0.6234943549317613
0.7,14000,0.6231652348079669
0.4,15000,0.6231442851868318
0.7,16000,0.6230334077656875
0.7,17000,0.6230241012910995
0.65,16000,0.6228425274922508
0.7,13000,0.6226239598440412
0.7,12000,0.6225768475555827
0.65,13000,0.6224640846896978
0.65,15000,0.6211036187582187
0.7,18000,0.6210479289477391
0.4,14000,0.6194884415756534
0.4,13000,0.6173695389199227
0.4,12000,0.6152215502420342
