threshold,size,dice
0.35,17000,0.6290268821214643
0.4,15000,0.627928925255686
0.35,16000,0.627892550546891
0.4,19000,0.6276425813663905
0.4,18000,0.6269569019184117
0.35,15000,0.6254366466797323
0.35,18000,0.625406568721688
0.45,18000,0.6251945483131325
0.35,19000,0.6250767225081528
0.4,16000,0.6244595605056152
0.4,17000,0.6243570298911464
0.45,19000,0.6237257722944474
0.45,17000,0.6232023828950476
0.5,18000,0.6213508523214264
0.5,15000,0.6211301292673088
0.5,19000,0.620917612493131
0.45,16000,0.6207852935193294
0.45,15000,0.6194737229860223
0.55,17000,0.6194284016074977
0.5,16000,0.6192149615375281
0.5,17000,0.6181913703794195
0.55,18000,0.6178611275696044
0.55,16000,0.6169276426628748
0.55,19000,0.6163520638367713
0.55,15000,0.6151608231049824
0.6,15000,0.6136875409524745
0.6,16000,0.6122107815653578
0.6,17000,0.6113403146590859
0.6,18000,0.610786955304134
0.6,19000,0.6103411694244472
0.65,15000,0.6068919712457775
0.65,17000,0.606282026762073
0.65,16000,0.6047394825732418
0.65,18000,0.6040510133748289
0.65,19000,0.6040244883433616
0.7,15000,0.5998473029872889
0.7,19000,0.5992079923947881
0.7,18000,0.5990838547855679
0.7,17000,0.5982397589880345
0.7,16000,0.5978522206817107
