threshold,size,dice
0.55,18000,0.7761548186592712
0.5,18000,0.7760555450793056
0.55,16000,0.776055408397764
0.45,18000,0.7751242784072367
0.4,18000,0.7749252301175206
0.45,16000,0.7743969037361287
0.5,16000,0.7740915339866241
0.7,18000,0.7740480470611175
0.75,16000,0.7739816484329449
0.75,18000,0.7736778651172659
0.6,14000,0.7735601732464398
0.6,16000,0.7734142778338101
0.4,16000,0.7732849044198958
0.5,14000,0.7731420879888314
0.35,18000,0.7730518437667123
0.6,18000,0.7729572844853407
0.55,14000,0.772895290991116
0.6,12000,0.7726728314995924
0.65,16000,0.7720631057141226
0.55,12000,0.7717903732276129
0.35,16000,0.7717468806950104
0.65,14000,0.771691872439552
0.45,14000,0.7714609100218851
0.75,14000,0.7710398274511974
0.7,16000,0.7710086050968022
0.4,14000,0.7706499757625216
0.7,14000,0.7704544045194351
0.65,18000,0.7700468480053244
0.7,12000,0.7697496964845987
0.5,12000,0.7694408638282463
0.65,12000,0.7690267332264759
0.75,12000,0.7682613236776192
0.35,14000,0.7681847950776466
0.4,12000,0.7673768095902345
0.45,12000,0.766766523232319
0.35,12000,0.7657373672412465
