threshold,size,dice
0.45,18000,0.6387688986941218
0.5,16000,0.6346896450181855
0.55,16000,0.6345922556001798
0.5,18000,0.6345730598077146
0.4,18000,0.6345484396735116
0.55,18000,0.6331334715010589
0.45,16000,0.6329724729079936
0.55,14000,0.6329307526521852
0.35,18000,0.6322936180158253
0.45,14000,0.6319186081048789
0.4,16000,0.6319126859779658
0.5,14000,0.6319036741383978
0.6,18000,0.6301402731161158
0.65,18000,0.6300776974103738
0.55,12000,0.6295619715126993
0.6,14000,0.6289259815184849
0.35,16000,0.6288849183533917
0.6,12000,0.6286956917796881
0.4,14000,0.6280013456039394
0.6,16000,0.6279219942618762
0.65,14000,0.6274520783195976
0.65,16000,0.6272716690704127
0.45,12000,0.626736840279139
0.5,12000,0.6258958030271643
0.35,14000,0.6252221771650124
0.65,12000,0.6246199479239538
0.7,12000,0.6244456664645023
0.7,16000,0.6231439356344525
0.4,12000,0.6224162901769175
0.7,14000,0.6195174608117272
0.35,12000,0.6186086330411037
0.7,18000,0.6184615417858015
0.75,12000,0.6172596510264019
0.75,14000,0.616015645569519
0.75,16000,0.6122704919675602
0.75,18000,0.6095942277262667
