threshold,size,dice
0.45,12000,0.6225603748361747
0.4,14000,0.6220192147842365
0.35,12000,0.6187321143183769
0.35,14000,0.6187313083079632
0.4,12000,0.6185814867394226
0.5,10000,0.6181583225719277
0.5,8000,0.6171771230379973
0.5,14000,0.6170884604515844
0.45,10000,0.6164681193335285
0.35,10000,0.6160936003220165
0.45,14000,0.6154708429269291
0.4,10000,0.6152459857808106
0.5,12000,0.6144381395854058
0.4,8000,0.6133415403342853
0.55,14000,0.6121630913821696
0.45,8000,0.6115256942283827
0.35,8000,0.6111319326657612
0.55,10000,0.6108266655780672
0.55,12000,0.6103856229032978
0.55,8000,0.6102574322896706
0.6,14000,0.610078887288852
0.6,10000,0.6096427441663903
0.6,12000,0.6084187285244735
0.65,10000,0.6070071955679324
0.6,8000,0.6067251237184964
0.65,8000,0.6065512825339273
0.65,12000,0.6057351090534299
0.65,14000,0.6017228962820428
0.7,8000,0.6014157250231373
0.7,10000,0.6001282412877638
0.7,12000,0.5974300012496292
0.7,14000,0.5953804787119789
0.75,8000,0.5930011282114612
0.75,10000,0.5900490934524253
0.75,12000,0.5889056364459708
0.75,14000,0.5759354218310755
