threshold,size,dice
0.35,10000,0.6069628207698421
0.4,8000,0.6063516796864056
0.4,10000,0.6050471785789207
0.45,10000,0.6040323350484321
0.45,8000,0.6036165301885583
0.4,12000,0.6020878771774496
0.35,12000,0.6011311341493017
0.5,8000,0.6010636642495792
0.35,14000,0.6004895135117323
0.35,8000,0.6004767234348097
0.4,14000,0.5951987008358077
0.45,12000,0.5933501751397743
0.45,14000,0.5920644346735144
0.55,8000,0.5918727159740484
0.5,10000,0.5909325201103428
0.55,10000,0.5892935281439721
0.5,12000,0.5888826240358804
0.55,12000,0.5883193493470117
0.6,8000,0.5882598703584118
0.5,14000,0.5861463286773682
0.6,10000,0.5852749162944162
0.55,14000,0.5836156243271584
0.6,12000,0.582778412957372
0.65,8000,0.5817361085191772
0.6,14000,0.579130342359977
0.65,10000,0.5784811496297337
0.65,12000,0.576844994816723
0.7,8000,0.5747800416632112
0.65,14000,0.5706977497966208
0.7,10000,0.5706588284209261
0.7,12000,0.5655201603599815
0.75,8000,0.5623746245204677
0.7,14000,0.5618264396403556
0.75,10000,0.5579644591053399
0.75,12000,0.5530424119293977
0.75,14000,0.5516080463170354
