threshold,size,dice
0.4,14000,0.6248244125463751
0.35,14000,0.6246689030841213
0.35,16000,0.6246148941124143
0.35,12000,0.624418922368111
0.35,18000,0.6241220118974234
0.4,12000,0.6230250885074856
0.4,18000,0.6220510481608531
0.45,14000,0.6217931555719731
0.4,16000,0.621050650282371
0.45,12000,0.6203818124353501
0.45,16000,0.6199256369644315
0.5,12000,0.6187463203746512
0.5,18000,0.6176056747239433
0.55,14000,0.6152686489929358
0.5,14000,0.6151686580341842
0.55,16000,0.6147228394151769
0.45,18000,0.6142488518941418
0.5,16000,0.6131383428010294
0.55,18000,0.6126496613342313
0.55,12000,0.6125295352035258
0.6,12000,0.6115810328034386
0.6,14000,0.6109481671398524
0.6,16000,0.6106814604070288
0.6,18000,0.6095757296166393
0.7,14000,0.6083883305895726
0.65,16000,0.6082599136416514
0.7,12000,0.6074941656232817
0.65,18000,0.6070215535479049
0.65,12000,0.6068805669508791
0.65,14000,0.6066727662992143
0.7,16000,0.6065800145529143
0.75,12000,0.6047168519996762
0.7,18000,0.6045928019019262
0.75,14000,0.6034045715343219
0.75,16000,0.59816175848743
0.75,18000,0.5955817998033254
