threshold,size,dice
0.4,10000,0.6166292978337942
0.4,11000,0.6156927597093872
0.4,13000,0.6155126650458732
0.4,9000,0.6151260843917843
0.45,9000,0.6147474628433413
0.45,12000,0.6145310208386553
0.5,9000,0.6144253001403148
0.45,10000,0.6144227497766557
0.45,11000,0.6139626501133723
0.4,14000,0.6136248053177377
0.45,8000,0.6135605401723089
0.5,8000,0.6129685311623558
0.4,12000,0.6119369320454452
0.5,11000,0.6114154319123619
0.45,13000,0.6112469908173163
0.55,8000,0.6111369652552975
0.4,8000,0.6110766036751926
0.5,10000,0.6103448240055415
0.55,10000,0.610330872759659
0.5,12000,0.609421505994109
0.4,15000,0.6093616644870042
0.55,9000,0.6088368908198256
0.55,11000,0.6083781354020189
0.6,9000,0.6068098647120239
0.6,8000,0.6067192270044987
0.5,13000,0.6060851844105554
0.55,12000,0.6059539849773687
0.6,10000,0.6058724519175672
0.6,11000,0.6056333297505345
0.45,14000,0.605556197899598
0.55,13000,0.6052554702519302
0.6,12000,0.604458016675083
0.65,9000,0.6041369203394152
0.65,8000,0.6022103680672674
0.55,14000,0.6017151044600524
0.65,10000,0.6014147095479733
0.45,15000,0.6012264515132454
0.55,15000,0.6006576912041481
0.5,15000,0.6002571574517293
0.5,14000,0.6000550045097599
0.6,13000,0.5996321655996665
0.7,8000,0.5989505767344863
0.6,14000,0.5973084875300659
0.65,12000,0.5969368121192468
0.65,11000,0.59645648273776
0.7,14000,0.5952466428894603
0.7,9000,0.5948930933558872
0.6,15000,0.5947331572941494
0.65,13000,0.594683553277208
0.7,10000,0.5946760687915419
0.7,11000,0.594286774625235
0.7,13000,0.5936816838772921
0.65,14000,0.5931703861970666
0.65,15000,0.5921593581662735
0.7,15000,0.5920621982448385
0.7,12000,0.5916022238345401
0.75,8000,0.5885797925781668
0.75,9000,0.5875112769258103
0.75,11000,0.5864395283119159
0.75,10000,0.5855078675362878
0.75,13000,0.5840369940349824
0.75,14000,0.583895347164784
0.75,12000,0.5832140461325827
0.75,15000,0.5756648241112845
