threshold,size,dice
0.75,13000,0.7565141326631589
0.7,18000,0.7557847261690787
0.75,12000,0.7556753079945742
0.7,15000,0.7555225567357008
0.7,14000,0.7550470337433829
0.7,17000,0.7547502236165295
0.7,16000,0.7543114531147803
0.65,18000,0.7543075606333882
0.75,17000,0.7539698653023884
0.65,17000,0.7536365455182454
0.7,12000,0.7534735189924346
0.75,15000,0.7531695922673654
0.65,15000,0.7531167214785881
0.75,14000,0.7530525186554093
0.65,16000,0.7529929038165544
0.7,13000,0.7529650482616773
0.75,16000,0.7518700116547866
0.5,18000,0.751463736464527
0.65,14000,0.7513791958986086
0.6,18000,0.7507259926301113
0.45,15000,0.7506086834286163
0.75,18000,0.7506000232811184
0.45,18000,0.7505057821998755
0.55,18000,0.7503722692780985
0.45,14000,0.7503643887266077
0.6,16000,0.7501708765528529
0.65,13000,0.750162718181728
0.55,17000,0.7497423220855749
0.65,12000,0.749589938202026
0.45,12000,0.7495258879765613
0.45,17000,0.7492057771475211
0.5,17000,0.7489566151028091
0.4,14000,0.7488047747524919
0.6,12000,0.7487586840110076
0.5,14000,0.7487003945334924
0.6,14000,0.7486306145842684
0.45,13000,0.7485736530118277
0.6,15000,0.7483989145020763
0.4,13000,0.7482890645542573
0.55,16000,0.7482180634418035
0.45,16000,0.7481785795124634
0.6,17000,0.7480358628347857
0.5,12000,0.747949311351839
0.4,12000,0.747781593485858
0.6,13000,0.7476709065468908
0.4,18000,0.7474235092676164
0.55,12000,0.7474143386702551
0.4,17000,0.7470349571205396
0.4,15000,0.7468590644342027
0.5,15000,0.7467933693153831
0.5,16000,0.7463305252524165
0.5,13000,0.7462747340051785
0.55,13000,0.746255642218255
0.55,14000,0.7461330762280505
0.55,15000,0.7459248080845452
0.4,16000,0.7457799437965825
