threshold,size,dice
0.45,16000,0.7782752057828396
0.45,18000,0.7776944354772203
0.45,17000,0.77752742042218
0.5,17000,0.7774678630132612
0.5,18000,0.7773860727171006
0.55,17000,0.7768341278139506
0.4,18000,0.7767624929850148
0.55,16000,0.7766559175720269
0.55,15000,0.7765554790513727
0.55,18000,0.7765359854097674
0.6,18000,0.7761765893168958
0.6,17000,0.7757015564869914
0.5,16000,0.7754414557639795
0.5,15000,0.7751404258004826
0.55,14000,0.7749451249322162
0.45,15000,0.7748715350506741
0.65,15000,0.7745238588019432
0.5,14000,0.7742884908836785
0.5,12000,0.774286120065409
0.5,13000,0.7742326742209702
0.65,16000,0.7740620455901845
0.4,17000,0.7740035122396033
0.45,14000,0.7736311718738219
0.6,14000,0.7735778504759994
0.6,16000,0.7734465512204498
0.55,13000,0.773316403520188
0.65,14000,0.7732428146272126
0.6,15000,0.7725025957819462
0.55,12000,0.7722451247603616
0.65,17000,0.7719304554707914
0.7,14000,0.7715072598407526
0.7,15000,0.771148916094077
0.6,12000,0.7708721874267654
0.6,13000,0.770844486032951
0.7,13000,0.7705565716690269
0.4,16000,0.7699304884923643
0.7,17000,0.7697387643602998
0.65,13000,0.7695391109235088
0.7,16000,0.7695330532445813
0.7,18000,0.7694129739879274
0.65,18000,0.7693184635877538
0.45,13000,0.7692829500210896
0.4,15000,0.7691936974370042
0.7,12000,0.7690913676634722
0.65,12000,0.7685427135270374
0.4,14000,0.7685392894629874
0.4,13000,0.7676772505833477
0.45,12000,0.76673709595725
0.4,12000,0.763841016120756
