threshold,size,dice
0.45,12000,0.6157126856120707
0.55,13000,0.6142406289566742
0.55,14000,0.6141130336370791
0.45,13000,0.6141016007258616
0.4,13000,0.6138576027081726
0.55,15000,0.613762713639531
0.45,14000,0.6136364040232111
0.5,14000,0.6133381582531083
0.5,15000,0.6128169208278562
0.4,15000,0.612664100861093
0.5,11000,0.6120353344555831
0.4,14000,0.6117899433298798
0.45,15000,0.6116892646057323
0.6,11000,0.6116446058165951
0.5,10000,0.6110176912823462
0.5,13000,0.6109804557843179
0.55,12000,0.6104579468533013
0.5,12000,0.609848720366344
0.45,11000,0.6096042989313033
0.6,14000,0.609456621947689
0.55,11000,0.6091699055208882
0.6,13000,0.6090018078352643
0.6,12000,0.6089759280863131
0.6,10000,0.6086649367319823
0.5,8000,0.6082800015151949
0.4,12000,0.6076178082444387
0.55,10000,0.6075392911203025
0.5,9000,0.607444472973334
0.4,8000,0.6067130928112239
0.45,9000,0.6066670677970238
0.4,9000,0.6064968399506173
0.45,10000,0.6064360760945958
0.55,9000,0.6063175086870983
0.45,8000,0.6060686637232486
0.6,15000,0.6059399851935955
0.4,11000,0.6058581532089516
0.4,10000,0.6054758502128849
0.65,13000,0.605002295501001
0.65,11000,0.6049969960326436
0.65,8000,0.6047323559086313
0.65,10000,0.604714797546599
0.55,8000,0.6045384677824005
0.65,12000,0.6041222907007074
0.65,9000,0.6038375213737157
0.6,9000,0.6035507218784466
0.6,8000,0.602460093003682
0.65,14000,0.6015530691357776
0.7,9000,0.6005343983496919
0.65,15000,0.5990644355504309
0.7,10000,0.5983734082517136
0.7,8000,0.5973338804829171
0.7,11000,0.5964250825153815
0.7,12000,0.5957959760156043
0.7,13000,0.5946840454891711
0.7,14000,0.5910244270613677
0.7,15000,0.5869248368714595
