threshold,size,dice
0.4,10000,0.6163673694309083
0.4,12000,0.6162598277180747
0.35,14000,0.6160331790915506
0.35,12000,0.6153618812776405
0.4,14000,0.6146362435851009
0.45,10000,0.6145938464371269
0.55,10000,0.6138398178696598
0.45,8000,0.6136138419845331
0.45,12000,0.6133595361160811
0.5,8000,0.613085992114896
0.5,10000,0.6130830484180289
0.4,8000,0.6130668899179262
0.35,10000,0.6114269058152559
0.5,12000,0.6109694982341903
0.55,8000,0.6109135864009154
0.45,14000,0.6090739444322378
0.6,8000,0.6088766240148544
0.55,12000,0.6083778962139726
0.5,14000,0.6057407591015409
0.35,8000,0.6053485537182903
0.65,8000,0.6053239403939658
0.6,10000,0.604836672910904
0.65,10000,0.6013453967175129
0.65,12000,0.6010044924541675
0.6,12000,0.600042148158842
0.7,8000,0.5976509017460832
0.55,14000,0.5976336172507831
0.6,14000,0.5976250516278339
0.65,14000,0.595536062584006
0.7,10000,0.5952050022972623
0.7,12000,0.5928312961182104
0.75,10000,0.5900137077280093
0.7,14000,0.589126823929223
0.75,8000,0.5890334475928425
0.75,12000,0.5850784667520468
0.75,14000,0.5819685463910812
