threshold,size,dice
0.7,17000,0.6168944780623387
0.7,16000,0.6166538063725272
0.7,15000,0.6164133534218241
0.7,18000,0.6161132267065033
0.65,18000,0.6145774395852592
0.65,14000,0.6134392846413613
0.65,13000,0.6134152706015845
0.65,15000,0.6133421621463
0.65,17000,0.6126820648547954
0.5,17000,0.6123582602445578
0.7,14000,0.6122872838353299
0.7,13000,0.6119500298371873
0.7,12000,0.611810839231644
0.5,18000,0.6115157892378699
0.6,16000,0.6113943968522011
0.6,17000,0.6110908937400592
0.65,16000,0.6108448185961779
0.55,16000,0.6108427184044116
0.55,15000,0.6108337091551856
0.55,17000,0.6103328425401015
0.6,18000,0.6102962216199567
0.6,15000,0.6096879069939393
0.55,18000,0.60958528000154
0.65,12000,0.6093549940658451
0.6,13000,0.6093431064304475
0.55,14000,0.6083346914860033
0.6,14000,0.6076322849815203
0.45,17000,0.6076205391054341
0.5,16000,0.6074899334378414
0.45,18000,0.6074762653412276
0.55,13000,0.6067003686100576
0.4,18000,0.606451887683955
0.6,12000,0.606372126323899
0.55,12000,0.6061990413748987
0.5,14000,0.6052673249281778
0.5,15000,0.6051796534841736
0.45,16000,0.6039196510007077
0.5,12000,0.6028795683991688
0.5,13000,0.6026262379541162
0.4,16000,0.6014793150442617
0.4,17000,0.6013767960006878
0.4,15000,0.6013706832868653
0.4,13000,0.6007833904955364
0.45,15000,0.6007689163300615
0.45,14000,0.6003817249395396
0.45,13000,0.6003105136574675
0.4,14000,0.6001734104301272
0.4,12000,0.5997974336340817
0.45,12000,0.5995086273941653
