threshold,size,dice
0.5,12000,0.6165526753085042
0.45,13000,0.6148435609278562
0.5,10000,0.6145322385236265
0.5,13000,0.6139289286022671
0.4,9000,0.6134525553850482
0.45,8000,0.6134506533002427
0.4,14000,0.6129397767070541
0.4,15000,0.6128401861337592
0.45,11000,0.6126538295391475
0.55,11000,0.6126495734086158
0.45,14000,0.6123856867111418
0.4,10000,0.6119086410891857
0.5,9000,0.6116614502591848
0.45,12000,0.6115041383430909
0.4,11000,0.6111822032067552
0.55,12000,0.6108244602429579
0.5,11000,0.6106613474335082
0.6,10000,0.6106209276538924
0.4,8000,0.6106196618981277
0.55,10000,0.6106077248547583
0.55,8000,0.6105618588274414
0.45,9000,0.6102664090634049
0.4,12000,0.6102584058990391
0.4,13000,0.6102192200737673
0.55,9000,0.609579848305327
0.5,8000,0.6094547126921276
0.5,14000,0.6089615979492277
0.6,9000,0.6087889791594246
0.45,10000,0.6084928907248758
0.6,11000,0.6069673004514414
0.45,15000,0.6062822323462678
0.6,8000,0.6062381476828365
0.55,13000,0.6062279730261133
0.65,8000,0.6054412136884932
0.5,15000,0.6050760340237278
0.6,12000,0.6042049704196341
0.65,10000,0.6037828678489326
0.65,9000,0.6031918083527923
0.55,14000,0.6006017638705811
0.65,12000,0.5996778614968481
0.6,13000,0.5996172548959924
0.55,15000,0.5990365808051744
0.7,8000,0.5990356395987658
0.65,11000,0.5988132453091587
0.65,13000,0.596993613739033
0.7,9000,0.5955802453576658
0.6,15000,0.5955372114851062
0.65,15000,0.5953264578390559
0.6,14000,0.5953091370295962
0.7,11000,0.5947859445352229
0.65,14000,0.5938500501118102
0.7,10000,0.5934097855307946
0.7,12000,0.5925946097713549
0.7,14000,0.5901046652602682
0.7,13000,0.589223436275102
0.7,15000,0.5879254227874829
