threshold,size,dice
0.7,17000,0.6249699258183637
0.7,18000,0.6237410886826705
0.75,18000,0.6232055000959589
0.7,16000,0.6231766781632908
0.65,16000,0.6223454174043673
0.55,18000,0.6216430713005217
0.75,14000,0.6214118552723276
0.55,17000,0.62101396645445
0.75,15000,0.6208909497600847
0.75,13000,0.6208305049141639
0.7,15000,0.6205619501208082
0.75,17000,0.6204508210643825
0.6,14000,0.6202527581819884
0.65,17000,0.6200505570052992
0.6,16000,0.6195246898175085
0.6,15000,0.6189286411576873
0.7,13000,0.6189244988251817
0.65,15000,0.6188566920573054
0.75,16000,0.6187995286854493
0.6,17000,0.6186011925723377
0.65,18000,0.618213754789259
0.6,18000,0.617809973538607
0.75,12000,0.6177284251066645
0.7,14000,0.6174511277248748
0.65,12000,0.6168813226541551
0.65,14000,0.6166387532872925
0.55,16000,0.6164194586788347
0.6,13000,0.6158297879416249
0.65,13000,0.6155438150422035
0.7,12000,0.6140987980348176
0.6,12000,0.6120809220735214
0.55,15000,0.6113219267226957
0.5,18000,0.608217204559471
0.55,14000,0.6066702021566475
0.5,17000,0.6055010878312874
0.5,16000,0.6024175333117556
0.5,14000,0.6013065374485941
0.45,18000,0.6007082341344556
0.55,12000,0.6007051804831357
0.55,13000,0.6000793214577392
0.5,15000,0.599941157267316
0.5,13000,0.5997406810444574
0.45,17000,0.5995588855498921
0.5,12000,0.5995277903971495
0.45,15000,0.5972137149659892
0.45,14000,0.5968338911231632
0.4,18000,0.5956456776013999
0.45,16000,0.5954026741140815
0.4,16000,0.593295408965261
0.45,13000,0.5931007094838279
0.4,17000,0.5928525829696868
0.45,12000,0.592589956161065
0.4,15000,0.5904377933879935
0.4,14000,0.5867100343501022
0.4,13000,0.5839692669396574
0.4,12000,0.5803174214117781
