threshold,size,dice
0.6,17000,0.6054262668920347
0.6,18000,0.6039365738915813
0.6,16000,0.602283104655496
0.65,18000,0.6018883746583852
0.6,15000,0.6015311147410823
0.65,16000,0.6014512160203201
0.65,17000,0.6008306346584924
0.7,17000,0.6003100774859631
0.7,15000,0.600203773582702
0.65,13000,0.6001893467372396
0.6,14000,0.6001877471262724
0.65,12000,0.5994786434537122
0.7,16000,0.5994478013450328
0.65,15000,0.5991528621948629
0.55,18000,0.5991063223606534
0.65,14000,0.5990977473087641
0.7,14000,0.5989156049333324
0.6,13000,0.5987718000876799
0.55,17000,0.5978085169152415
0.55,16000,0.5975327244716085
0.7,13000,0.5973527016250358
0.7,18000,0.5969856433724353
0.55,15000,0.5961081508868082
0.7,12000,0.5953111328821755
0.5,18000,0.5951571664253492
0.6,12000,0.5945416326004718
0.5,16000,0.5911284552643662
0.5,17000,0.5892909950755248
0.55,14000,0.5883701118576841
0.45,18000,0.5871406084826871
0.55,13000,0.5860774961626651
0.5,15000,0.5860178407473692
0.55,12000,0.5849632875970601
0.45,17000,0.5841238451968745
0.45,16000,0.5817379554632623
0.5,14000,0.5813711743757155
0.4,17000,0.5804758379251308
0.4,18000,0.5795385826411834
0.45,15000,0.5791655281757193
0.45,14000,0.5779195681135476
0.5,13000,0.5774890092081131
0.5,12000,0.577342447924607
0.4,16000,0.5731674051806489
0.4,15000,0.5724522981803594
0.4,14000,0.5709002003964957
0.45,13000,0.5699012446522528
0.45,12000,0.5698712660472632
0.4,12000,0.5693657244364759
0.4,13000,0.5693222973187659
